kaggle_id,totalCorner_id
8bXKE4Pe/,47009611
EydPPUXd/,47009613
OKtCTv99/,47009568
Kj0uVwJ0/,47009487
6qAoDJOS/,47009570
8hdD8wXq/,47009572
2BuGSbOF/,47009574
EkaL6H1d/,47009576
SSy4Vxzs/,47009534
hCOKF2YM/,46981469
rHmtMnXL/,47009615
bsLEqwYg/,47009489
2FkpUcY6/,47009491
EqvGSzKa/,47009536
M1aXN829/,47009618
2FeH7cnj/,47009577
hSfTOlm3/,47009621
8CtziLuK/,47009493
pzVKRIwM/,47009580
bkPGGrJG/,46981471
Gfw4V0vc/,47009582
zFGntfla/,47064559
0hK6x8H2/,47064596
tCcPOhJO/,47064563
S8gLPY3I/,47064564
hjRsszZh/,47064567
YaZkuE35/,47064569
ENQm90Bj/,47009407
SQEVXqli/,47009409
tUIZW33c/,47009411
2q7rVsY9/,47009413
84zg0CQD/,47009415
dKDFznnF/,47064598
lWDRtyIC/,47064540
Mq61Rs91/,47064600
W2NOEMmT/,47009417
SMYgvYIB/,47064571
SM6cSNge/,47064602
2ZHVueXI/,8835130
Mwohcd2g/,8835131
f9ENsH26/,47064548
EPwwrvO2/,47064578
0z55Q1O7/,47064604
UoRMYPGR/,47064606
zBCJZ51L/,47064608
bwZOQxgS/,47064580
Oh8vWNI3/,47009426
zskddGHa/,47064550
WIBnU1mG/,47009430
AiXotIhF/,47064582
0MkeJfo2/,47064584
lrWkux8L/,47064586
IHzfvdNR/,47064588
zXRqAtdp/,47009419
pQNZrd4t/,47064573
WfDlUqPr/,47064610
4vdE4vAJ/,47064552
rVfI3bPP/,47064554
A9AjTL2M/,47009432
EaSwrGJn/,47064575
EeOAySW8/,47064612
GILjMd1q/,47064592
SSsssbw9/,47077059
EJ2gT3vk/,47064614
U3l0ezX5/,47064556
QVs9gE1I/,47108873
A5Omwu8D/,47108931
zmWztsOf/,185733326
O6mDpNXd/,47064140
MqfThXX4/,47108893
6DXcwhYH/,47108895
2uR6yW2U/,47108897
v12CdFYu/,47108899
zTeLfg3h/,47108903
hYaeSuIS/,47064142
Ey6MNaQq/,47064145
8b5QMJuj/,47064147
nk4ULwed/,47064150
2cnHqsm3/,47064152
ANkPsLHF/,47064154
EwVvu1w1/,47108933
IPUfHHgP/,47108875
fsKhx9is/,470824910
OlS2xCmO/,47108905
d2KqvLh7/,47108937
EX9VAFWh/,47108877
zsBRBeHn/,47108879
4M2r8DGB/,47108883
4MtDhYGO/,47108885
8pOdyT6m/,47108913
xhllko18/,47108939
A5ndmPVK/,47108941
EPFUXg0e/,47108915
hILMCy2t/,47108887
dKoLr129/,47064156
KQMLZFVr/,47108917
2kCQYZpk/,47108919
j9D1zmMg/,47108921
2odPgyNE/,47108925
EJfPgDIb/,47108907
pUcMrpet/,47064158
Muj0nqoR/,47108943
8fm4ffnC/,47108889
SMSSs3gr/,47108945
OfcLfH78/,47108927
6DRWtN8l/,47108947
YNBBP9MP/,47227880
8nFYWDF1/,47108929
Grmhl5GE/,47108949
hnuUtuXL/,47064160
EwJ66j24/,47189253
jggIKj0H/,47189233
z97BhK70/,47189294
OYNWwCGs/,47189212
bguio4zC/,47189271
rarxiB2H/,47189255
UkHf9hIo/,47189257
23F27Wnb/,47189259
d28B5AHA/,47189269
2LQayJfq/,47189215
xvJCYGv2/,47189217
js7fc0H2/,47189219
n903evnF/,47189221
hpI6g0hf/,47189297
n1d1OY0h/,47189235
Q3aBnEWo/,1409496987
Ea6FivN6/,738048236
ShmRs4An/,47189223
d2ntjVHN/,47189263
pKEbeMNs/,47189301
EmbgQfWu/,47189237
Cn6j6ioO/,47189239
jw5f5B0U/,47189241
KQbFoYoh/,47189275
O8CV1OpE/,47189304
rZAJjbxD/,47189307
rBSWa2FQ/,399691052
MJlELWpB/,383832111
MP9NkIiJ/,47189309
rTkAMCV4/,47189245
WxvYuanS/,47189225
UX5bdKW8/,47189227
xpvepOkI/,47189277
bHcJph1b/,47189279
GUknnpL5/,47189281
jPopkkXT/,47189265
tCP3zwAk/,847842884
hvccPEon/,182218574
hYXBp9uo/,47189267
IqXrmQ5a/,47189283
6Jraqr5O/,47189288
vsE2ftwl/,47189313
pAs3r2KU/,47189292
2aBZ0r0K/,47189315
IP6n7XVH/,47189251
OzF8ZdPe/,47189231
KnzjbBVc/,47290979
CtDOsjoH/,47290981
xOpoaiGi/,47290983
vTEGqCG4/,47290985
IJDKrWVA/,47290987
WMwfcVp4/,47290989
QqHStA0N/,47290991
AHhaylOp/,47290993
bXos0X0o/,47290995
4SBJ3lnN/,47290751
EBUxdgEh/,47291338
EJ0rdBxQ/,47290568
WpMtlR7j/,47290999
l0mjbS9p/,47290753
fcvtLkHc/,47290755
23ifcnPj/,47290757
G6uxMV1i/,47290759
IeNzwWVm/,47290570
CfGqyA00/,47290572
tdiVtOPh/,47290574
KKJiZmVC/,47290576
bBIeY7pJ/,47290578
WbmAiVps/,47290580
MVCyQoxc/,561066549
MBW6fTUM/,47291001
zg7F4UWG/,47290761
As6j2rpj/,47290592
Ic6pOP69/,47290594
jB4hM3yM/,47290596
AeoPGsaq/,47290598
8SOg12ad/,47290600
Yk0PCApi/,47291004
SIGo3OUq/,285553278
4E8dLNjS/,47290602
0GdvciNJ/,47290582
4zx2e9FG/,47291007
6HDWAlF3/,47291009
CtaTBUac/,47291012
p8CzA8U9/,47291015
rJAN281T/,47290763
UVQvxjof/,718370730
MJAxK9W3/,47290765
IsIxk7hp/,47291018
0MBuP5i3/,47290606
joFmzUF6/,47290586
02VAgmpT/,47291023
zkTUdwV7/,47384261
OOOVZM5L/,47384240
xCIAk9Fg/,47384219
lUAHKtNE/,47384263
dbUQcJF1/,47384269
69yE0LVr/,47384277
AknEjk0m/,47384221
G2HElTUa/,47384223
OSKMn7aC/,47384225
z7lu5lFt/,47384227
x8MJxPL2/,1241432994
nZgn5Jrr/,47384279
APGImmp6/,47384229
xf7DLM78/,47384271
z3ryEuq2/,47384244
r952U0Tr/,47384246
lnpTF1Ek/,47384248
dCqXELTe/,47384250
fs2K9azR/,47384281
zJjZurua/,1917623071
t0JzZtLR/,84725435
SW1u9SqG/,47384283
jBQNyqy9/,47384252
6iARoREI/,47384231
pr9VpoUO/,47384233
Yc2D9U6P/,47384235
v9U8i0Er/,47384285
YVTCjKTl/,47384287
8lMPmID7/,47384289
YRDBBL5E/,47384291
lYQIauok/,47384273
fX8pIm1G/,47384275
CMSGkvqe/,47384293
Gj3GAuLK/,47384295
xW46TKrk/,47384258
KjvAmtzL/,47470528
tSkdDbFl/,47470550
Ms9PIKiR/,47470552
2yihEv0r/,47470554
zkk0CIUf/,47470556
lhg4Bxp1/,47470558
OSth2naa/,47470507
Kfz10QTB/,47470510
h8Y8b4bO/,47470512
E9kwu2f5/,47470514
6BxDcODU/,47470516
WY3JI7qt/,47470518
l68ASvbe/,47470530
QPhj4wbl/,47470570
IVwp48Un/,47470520
xEVfYaiE/,47470562
YgrEn0kR/,47470532
WUcFRbD1/,47470534
byj1k258/,47470537
f5p70ecD/,47470572
4WuIIxDs/,47470574
UPTqsvDl/,47470541
2Jud16E5/,47470522
8lre3cDf/,47470576
SAljNI4Q/,47470578
YmknObkK/,47470582
neVMHdSm/,47470584
A7sD9GED/,47470564
boZ4apqI/,47470524
jZUurKcr/,47470543
WGr9Ada7/,47470566
fcjrPvzE/,47470586
xSl5lMKE/,47470545
Mina2HS0/,47470588
U5sl3Sqg/,47470526
Obuu1a4K/,47565734
rcmiBsrU/,47565125
zkBVRcUs/,47565774
829wQyaf/,47565776
bTJ3WwMQ/,47565778
4U2nOFT6/,47565780
AP2NHRbn/,47565127
Ik2RGoEh/,47565129
dt1VF5Tb/,47565131
v5jzFPr5/,47565133
fL6zvM9B/,47565135
p6ZI61jo/,47565137
hYqq0JJQ/,47565736
nVgrD3DH/,47565139
Qw4rPeE0/,47565784
x6LFfcsl/,47565738
ltPJgHdf/,47565740
p8ty2ukE/,47565742
Uablvxc7/,47565744
YBXYEfC6/,47565879
zwapuIs1/,47565732
h8fvEqbB/,47565141
fLYUFzc0/,47565881
SOTOyIJJ/,47565883
QoUQGGsf/,47565885
GzNwEERC/,47565887
6FSSzxZP/,47565889
UBAZQHql/,47565786
QLhnCNSN/,1514912997
r32hwdCD/,1477806514
dxLgMgbJ/,47565788
ELusDYtJ/,47565891
n9AeWess/,47565894
r3ONhyC0/,47565748
rkTI9Xak/,47566941
Qa9aVFdm/,47565896
UcTsbWmt/,47795404
jXJ2g82B/,47795407
dft4U4rh/,47795352
vJV8TOcb/,47795355
I9UCSrD4/,47795357
YB5vwtPH/,47795359
nqZGR2SA/,47795361
QZXKQMsH/,47795363
4GLfeUXb/,47795410
vVHWjFtD/,47795412
QPMjdAIh/,47795415
CtLbflm5/,47795419
Ye97hSHH/,47795422
MgNRieR6/,47795425
b9N0VpTo/,47795365
6Xok9fCq/,47795367
Kzjg8ERk/,47795369
Eckc7Ytd/,47795372
ILGzjZeJ/,47795427
Whx6PPPt/,47795451
r3vnkESM/,47795431
v5vcz2vp/,47795469
tQrnCrpL/,47795374
h8QEN3fg/,47795457
0YTMLsP5/,47795461
KzpOJLgI/,47795453
AqyAOqum/,47795455
f9tzFp02/,47795377
YauvE4F8/,47795380
OlYjB2aR/,47795383
fXOM5tNl/,47795386
YNNQ40xe/,47795389
WA9DVEM8/,47795535
fTSVhdTc/,645338177
ziOafNVF/,47795471
xAyoD66s/,47795537
SMvrDOUE/,47795392
v1pvU5HP/,47795463
t8HA72zJ/,47795539
ETZsjfDG/,47795435
naDBinXN/,47795437
zwyvizbA/,47795439
tMCFj6nU/,47795441
IFD4gsoM/,47795473
hKA9Wf72/,47795541
ptO19O56/,47795543
SQKidq13/,47795475
rVbsnQfo/,47795443
SY4rx0vO/,47795395
AZLYuOGM/,47795477
d0Pee3G9/,47795479
YRw1ZLgj/,47795481
vPSQK1vC/,47795465
hll16hd2/,1899710013
bPPgBpyf/,887460833
MFUNfIbo/,1303262859
6BUIMN9a/,47795467
QX8HUYyF/,47795548
lzMmcPoc/,47795483
6kPcA4j0/,47795550
06TRgxEi/,47795449
S4D68rLC/,1612670866
xdhVvrWS/,47795485
KYQkCQLm/,47795554
QcKI6M7r/,47795401
IVFhZ0g5/,47888811
YX686Fcc/,47888852
zqdmLL4I/,47889299
hzN94gS9/,397259854
vuHlzsva/,47888813
CUW9sPoP/,47888815
0f5cYK8B/,47888817
CU81XvOH/,47888821
SMGZ2v77/,47888699
tQ4HRNq8/,47888701
KG3LQsaE/,47888703
GrcUOLTQ/,47888705
nRm0Jail/,47888707
Ukw5IJ6f/,47888709
n9pXO35g/,47889301
WIwv8t0F/,47889183
SIhuNsz6/,47889303
GnDV3Ki1/,47888711
A5CpyNOh/,47888823
hnoTPqjm/,47889305
fs847eri/,47888856
EqO55ZC3/,47888865
MgwjlYsT/,47888875
zipV92V2/,47889185
EZfiKuKO/,47889307
tvKMrC5j/,1386475238
pf3zONKa/,47889309
MmdmoJh2/,47889187
ncMD3DsG/,47888901
YNqdKuxr/,47888713
A9xr70FL/,47889189
rccqnawd/,47889191
ljOywqft/,47888825
tx9nyKgU/,1006568732
69iqM1kC/,463827339
SzGIqhjp/,1479072534
UkH8h10S/,47889195
Y14dV5SP/,47889313
lflZ8Mp9/,47889197
EenPQPzs/,47889315
rPFM1iCS/,47888942
QL2vmuOk/,47889199
fB5hWoDJ/,47889317
xhbQP1EK/,47888717
nV3zlL8q/,47889201
MuKuYBES/,47974917
rHVYEW7j/,47974919
S45xZiaM/,47974921
6kHTzEU9/,47974923
KYEHwGpi/,47974925
bPDLxz0c/,47974927
lE6YZXqG/,47974929
hnDPyfF3/,47974933
27DI0bhk/,47993763
S8oB6lt8/,47993765
CAn2kDq3/,47993733
hb5dekkd/,47993685
EeWRWI3U/,47993871
t8kGFHjD/,47992969
KGaGR9id/,47993727
Uos7lXb9/,47993729
6DeCSkxj/,47993731
2auFnBTL/,47993743
8tx9HwM0/,47992971
6azgd3Pu/,47992973
dGX2wLrK/,47992975
jwX6xubQ/,47992977
ANDwXILm/,47992979
lECsWxyf/,47992981
6Pu7yska/,47993873
vioiHWBF/,1368352357
b72M3nQQ/,47993767
QDO9xNZh/,47993875
YJmbjgUd/,47993741
htrJYvZH/,47993877
f3quKYRd/,47993691
00nmICd9/,47993693
hbRRAUlq/,47993697
E76hdVZk/,47993699
6apF58eE/,47993770
vwvFZKJB/,47993879
h0Q1vq5t/,47993881
6wmqJhs3/,47993701
rDTbv1TD/,47992983
GAHMaI7e/,47993774
KrOD1vwq/,47993776
4luka6Ys/,47993778
0MqJ4SAK/,47993780
8xtBmiEF/,47993735
2HjCGcy7/,366298012
pGvBz145/,1477042452
zJv0FAtS/,463599560
GvZZrPdP/,47993887
lOFUcdx8/,47993782
nNP5w3Kn/,47993889
pY1lcBKq/,47993705
hnJYXb6s/,47992987
xz5fTzLC/,48065809
fBFkUG56/,48065811
GQ3bSfzJ/,48065813
4tctivDJ/,48065815
rXepjbSP/,48065817
lEYCoIzs/,48065819
2HxHpxjm/,48065821
pjZdeNvn/,48065823
dvxLqd5g/,48065825
ryCoVdj0/,48065828
hGbz9t9o/,48065832
x4OQlwOT/,48065836
EPw1fsfh/,48065840
hGx5g19b/,48065843
nFVDiuvB/,48065847
KSTLkJ8N/,48065851
vDAhpcWp/,48065853
6J2v80Oi/,48065855
txVHjagH/,864930180
zuS9hLO4/,48065859
tSepnkRi/,48171245
zVzPrGKa/,48171247
GthMszz6/,48171249
fXjQtfkC/,48171251
lfjUuE4I/,48171253
0WIcOoZp/,48171255
lrhq7Kwb/,48171257
2yctmVBo/,48171259
lhahpTe4/,48171261
A10lo9tb/,48171263
nq1tjt4h/,48112467
MLe5pxYT/,48112469
QTCXi2Zu/,48112471
bsmXudto/,48112473
4KByiMln/,48112475
Sbd1oIIN/,334550461
WW2hmvlB/,48112477
l8ccnb3H/,48112481
bJ4pk0Jb/,48112483
0zPiJRPD/,48085475
ht4llKY4/,48112485
jP1Qbcva/,48085477
CErccp3f/,48085463
x0nL1aft/,48085465
d22MawPh/,48085469
YTW5eOX6/,48085471
IB3I0J9n/,48085479
ruvgbQml/,48085461
nXzAfrmD/,48085473
ALdJQIS7/,48085254
EPwbDNAs/,48085271
YDvN2Jmb/,48269976
l6vRbSAc/,48269760
U170r7QG/,48269762
OO64sRuN/,48269764
r9myx53p/,48269766
ManuyPIj/,48269768
SYjm6vg4/,48269770
WUTVcnQ3/,48269772
vJg7s9Hk/,48269978
61VV9l4k/,1389403512
rJQ3CG8b/,48269956
0nRF4uJo/,48269980
2F58toeT/,48269774
dflCtTWe/,48269982
SGJv8SY1/,48085261
lQKz98Je/,48085264
nwx6B1uf/,48085274
tYMLWBB2/,48085280
0fL8BzO4/,48269958
0Sf3rk2q/,48269984
zomGumn2/,48269986
Y7cofZhU/,48269960
WGlcqmBA/,48269776
QsfwdeOH/,48269962
A5SeExvn/,48269964
4S5UcHg5/,48269966
nieZdy9B/,48269968
4SRaDdgh/,48269972
z3zNa8ei/,1244229405
vwQJ3aYi/,1387085775
KOLPVVQ8/,539412891
8nw2CsQm/,1387406497
fTSV0cIA/,48269990
bVOiFIOu/,48269974
C4wR1w34/,48269992
2mBUUktF/,48085258
8WWZaHXG/,48269994
r5VE9uA6/,48269918
hMJtd8Wr/,48333377
ALSZd6uA/,48333075
IoSwdQfG/,48333077
v1Gnf4PS/,48333079
lz6Mm22d/,48333081
M95j5b8A/,48333083
Qik5Couc/,48333085
jDXE0lOR/,48333379
l2YM7JvJ/,102909874
nBNK8Y7N/,48333286
rBCgg6G1/,48333381
Aq7Ilrmj/,48333087
llyb4WO2/,48333383
0t2uQ0fm/,48269922
j7C5W2HJ/,48269924
Mk3yRtus/,48269926
jVfhNbv6/,48269928
6FjsQZxb/,48333288
llDkfn1e/,48333385
zo9oeSok/,48333387
p02YRe8o/,48333290
r5ipPK9g/,48269932
4rl9B5f3/,48333089
voKCAfwB/,48333292
Y7JG9EhH/,48333294
UZCP7hNT/,48333296
Oj1xRFNi/,48333298
KIfoPgh4/,48333300
EufkOD7A/,48333302
GM7EkOXq/,757699895
MwTA1U8L/,463791852
d8elOvPa/,1639737157
rmU62AgF/,48333391
0Ov23jv9/,48333393
M1BchQV7/,48333395
UcB9VMWP/,48269936
dxRsepAM/,48333093
02wGxvvg/,48333144
2Rcuqt1P/,1487916081
EidD9R0r/,48333483
SrKOxDM3/,48333306
rXmU5q07/,48333485
MHaL75Vf/,48333487
ULgdMIgC/,48333132
lO9cKdOO/,48333136
MBvCwKOn/,48333142
IDxYFkFj/,48333310
hreH8oGl/,48333489
tI6X43FD/,48333491
08bP6Pp1/,48333493
AXAgLx9I/,48333134
vmk7v09t/,48333140
A7mbMixN/,48333314
lbn2LBiT/,48333316
KIGGvZii/,48333318
6ZISyXyA/,48333308
fLfFTnhE/,705715081
8StOzI85/,682789856
f7FtFmwL/,48333497
b9FKwg7c/,48333320
0pGxGTNE/,48333499
jiWSZyOB/,48333273
lb8XziiG/,48333322
8AJpE7hR/,48333501
6wZTGVap/,48333324
6XNcvmy2/,48112410
UeA5mehB/,48333259
MyS6J2U6/,48573499
WfuQ7NgS/,48333108
b7Kkt96k/,48112412
xE7Hf8Lr/,48112416
z5LkalDR/,48112420
h4tM83vM/,48333110
OnXi3s2q/,48333112
2wWe21Hk/,48333114
p2L01LWe/,48333116
b5P40un2/,48333118
C8DnPOO2/,48333120
0MwbLOaf/,48573504
0GIliwgn/,48333251
bXc7UlUq/,48333338
roT2KrF0/,48573507
AuiH9qPF/,48333123
StPguTLe/,48112422
U1RAIMqD/,48573496
MkmvXZ7U/,48333247
MPJphJwt/,48333249
fwIhjc8h/,48333253
j5B1lyw5/,48333257
dOBuZULS/,48333340
nJZgM4pl/,48573502
CQjeQY2J/,48573513
IZD8SSbd/,48333342
ralzYFhO/,48333245
b5mDAP99/,48333125
21CyzB6M/,48333336
Wx2jiCyc/,48333346
pt6fjWj3/,48333350
S4eakj69/,48333356
Y3NWWsjr/,48333361
G25l1ArF/,48112424
004f4ING/,452448902
hdzjNpVs/,785171223
lxkWYewI/,694962935
Mu6p2jT8/,48112426
jmlORQMQ/,48573494
6ef3lALF/,48333363
8hQEHtaJ/,48573491
8tMdkHNb/,48333255
YBgJS67K/,48573489
S20Ui651/,48269938
GOtPDmSK/,48269940
Wz7LgSzk/,48269942
f9hGF9c8/,48269944
E9aSC7sR/,48269946
pvBPhnje/,48269948
YaiKETCE/,48269950
6gaYjQK7/,48269954
z5XNXblO/,48573516
