kaggle_id,league,home_team,away_team
YFZwPAWj/,Germany Bundesliga I,Werder Bremen,Wolfsburg
roHUoYw4/,Germany Bundesliga I,Mainz,Borussia M'gladbach
Q7BH3Sa6/,France Ligue 1,Bastia,Nice
8dlc04Gd/,Italy Serie A,AC Milan,Hellas Verona
0jgLylGd/,Germany Bundesliga I,SC Paderborn,Bayer Leverkusen
vqFJJvj4/,France Ligue 1,Monaco,Bastia
vqFJJvj4/,France Ligue 1,Monaco,Bastia
vqFJJvj4/,France Ligue 1,Monaco,Bastia
hSC7Mt6o/,France Ligue 1,Lorient,Caen
xldgN9I0/,Germany Bundesliga I,Werder Bremen,Bayern Munich
KCobMTX6/,Germany Bundesliga I,Eintracht Frankfurt,SC Paderborn
8WtCzYpT/,England Premier League,Burnley,Man City
xjiOKgJ8/,Italy Serie A,Hellas Verona,Napoli
I7HSy9Xg/,Germany Bundesliga I,Hamburg,Hertha Berlin
xAXTZn26/,Germany Bundesliga I,SC Paderborn,TSG Hoffenheim
xAXTZn26/,Germany Bundesliga I,SC Paderborn,TSG Hoffenheim
xAXTZn26/,Germany Bundesliga I,SC Paderborn,TSG Hoffenheim
vqykZJki/,France Ligue 1,Lens,Marseille
jJ8ZQUur/,Italy Serie A,Parma,Torino
xzBoOSP0/,Italy Serie A,Juventus,Empoli
vwfakS1g/,Germany Bundesliga I,Werder Bremen,Mainz
vRLmNDdd/,France Ligue 1,Lille,Stade de Reims
dE4fj8nm/,Germany Bundesliga I,Hertha Berlin,SC Paderborn
nNLl0qGB/,Germany Bundesliga I,SC Paderborn,Augsburg
pKxyZqvJ/,Italy Serie A,Hellas Verona,Inter Milan
xILQeY2L/,France Ligue 1,Stade de Reims,Nice
fmPdbNpO/,Germany Bundesliga I,Bayer Leverkusen,Hannover 96
YDf7IQVu/,Germany Bundesliga I,Augsburg,VfB Stuttgart
zJIxHe7M/,England Premier League,Leicester,Swansea
nDM1mAA1/,France Ligue 1,Guingamp,Evian Thonon Gaillard
G2TGZGUT/,Italy Serie A,Fiorentina,Hellas Verona
zTyI2FbG/,Italy Serie A,Hellas Verona,Sassuolo
n18aEZzM/,Germany Bundesliga I,SC Paderborn,Werder Bremen
8va742og/,France Ligue 1,Stade de Reims,Lyon
QBZafi6d/,Italy Serie A,Sampdoria,Hellas Verona
6okW8Dbq/,Germany Bundesliga I,Bayer Leverkusen,Bayern Munich
ppjSav0O/,France Ligue 1,Guingamp,Stade de Reims
fkh6Bqsl/,Italy Serie A,Hellas Verona,Udinese
URzDUOmQ/,Italy Serie A,AC Milan,Roma
xvF5DcUN/,France Ligue 1,Bordeaux,Nantes
dOex8yho/,France Ligue 1,Evian Thonon Gaillard,Stade de Reims
xYmR6LeJ/,Italy Serie A,Lazio,Inter Milan
KS7BthKE/,Germany Bundesliga I,Cologne,Schalke
foMggV3K/,Germany Bundesliga I,VfB Stuttgart,Hamburg
foMggV3K/,Germany Bundesliga I,VfB Stuttgart,Hamburg
Wxtt7GOl/,France Ligue 1,Stade de Reims,Rennes
