id_odsp,date,season,league,country,home_team,away_team,odd_h,odd_d,odd_a,score_pre_80,score_ft,game_state_80,goal_diff_80,home_shots_pre80,away_shots_pre80,home_shots_on_target_pre80,away_shots_on_target_pre80,home_shots_off_target_pre80,away_shots_off_target_pre80,home_yellow_cards_pre80,away_yellow_cards_pre80,home_sending_off_pre80,away_sending_off_pre80,home_fouls_pre80,away_fouls_pre80,home_corners_pre80,away_corners_pre80,total_shots_pre_80,total_fouls_pre_80,total_yellow_cards_pre_80,total_sending_off_pre_80,total_corners_pre_80,total_corners_70_75,total_shots_70_75,total_fouls_70_75,total_corners_75_80,total_shots_75_80,total_fouls_75_80,home_shots_ft,away_shots_ft,home_shots_on_target_ft,away_shots_on_target_ft,home_shots_off_target_ft,away_shots_off_target_ft,home_yellow_cards_ft,away_yellow_cards_ft,home_sending_off_ft,away_sending_off_ft,home_fouls_ft,away_fouls_ft,home_corners_ft,away_corners_ft,total_corners_ft,home_shots_70_75,away_shots_70_75,home_shots_on_target_70_75,away_shots_on_target_70_75,home_shots_off_target_70_75,away_shots_off_target_70_75,home_yellow_cards_70_75,away_yellow_cards_70_75,home_sending_off_70_75,away_sending_off_70_75,home_fouls_70_75,away_fouls_70_75,home_corners_70_75,away_corners_70_75,home_shots_75_80,away_shots_75_80,home_shots_on_target_75_80,away_shots_on_target_75_80,home_shots_off_target_75_80,away_shots_off_target_75_80,home_yellow_cards_75_80,away_yellow_cards_75_80,home_sending_off_75_80,away_sending_off_75_80,home_fouls_75_80,away_fouls_75_80,home_corners_75_80,away_corners_75_80,home_corner_diff,away_corner_diff,league_england,league_spain,league_germany,league_italy,league_france,league_avg_corners,league_avg_home_corners,league_avg_away_corners,league_avg_post80_corners,league_avg_post80_home_corners,league_avg_post80_away_corners,corner_diff,is_home_trailing,trailing_team,trailing_team_corners,home_games,home_corners_for_avg,home_corners_against_avg,home_post80_corners_for_avg,home_post80_corners_against_avg,away_games,away_corners_for_avg,away_corners_against_avg,away_post80_corners_for_avg,away_post80_corners_against_avg
U9ZKrhhM/,2016-10-31,2017,I1,italy,Cagliari,Palermo,1.79,3.9,5.4,2-1,2-1,h,1,8,11,4,3,4,8,4,2,0,0,14,14,1,3,19,28,6,0,4,0,2,1,0,1,1,8,12,4,3,4,9,5,3,0,0,17,16,2,4,6,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,10.28757225433526,5.747109826589595,4.540462427745664,1.5173410404624277,0.8294797687861272,0.6878612716763006,2,0.0,away,1.0,5.0,4.291184971098265,7.090077071290945,0.30491329479768786,1.4479768786127167,5.0,4.090077071290945,5.791184971098265,0.6146435452793835,0.6382466281310212
UFKRxEVl/,2016-10-31,2017,E0,england,Stoke City,Swansea,2.15,3.62,4.25,3-1,3-1,h,2,18,12,5,5,13,7,1,0,0,0,6,14,5,3,30,20,1,0,8,0,2,1,1,3,1,18,14,5,6,13,8,2,0,0,0,7,14,5,4,9,2,0,2,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,10.576597382602001,5.8745188606620475,4.702078521939954,1.5858352578906851,0.8652809853733642,0.7205542725173211,1,,,,4.0,7.17490377213241,5.94041570438799,0.9730561970746727,0.7441108545034643,4.0,4.340415704387991,5.77490377213241,1.1441108545034642,0.3730561970746728
reEJQ0MN/,2016-10-31,2017,SP1,spain,Deportivo La Coruna,Valencia,3.16,3.41,2.61,1-1,1-1,d,0,15,7,4,2,11,5,1,4,0,0,11,18,5,4,22,29,5,0,9,2,1,3,0,1,1,16,10,4,3,12,7,1,5,0,0,13,21,5,6,11,0,1,0,0,0,1,0,0,0,0,1,2,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,10.495781637717121,5.981637717121588,4.514143920595534,1.490818858560794,0.8307692307692308,0.6600496277915633,2,,,,4.0,6.396327543424317,4.502828784119107,0.7661538461538462,0.5320099255583127,4.0,4.902828784119107,4.796327543424317,0.13200992555831265,1.1661538461538463
8bcsttMA/,2016-11-04,2017,SP1,spain,Malaga,Sporting Gijon,1.72,3.89,6.2,3-2,3-2,h,1,19,6,5,4,14,2,4,5,0,1,10,16,6,2,25,26,9,1,8,0,1,1,0,2,1,22,7,7,4,15,3,5,5,0,1,11,19,9,2,11,0,1,0,1,0,0,1,0,0,1,1,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,10.495781637717121,5.981637717121588,4.514143920595534,1.490818858560794,0.8307692307692308,0.6600496277915633,3,0.0,away,0.0,5.0,6.496939619520265,4.7523573200992555,0.8051282051282053,0.7766749379652605,5.0,3.585690653432589,5.496939619520265,0.44334160463192723,0.8051282051282053
tnOWZ4jM/,2016-11-04,2017,F1,france,Montpellier,Marseille,2.73,3.46,3.05,3-1,3-1,h,2,12,7,4,3,8,4,1,1,0,0,8,8,1,4,19,16,2,0,5,0,0,0,0,2,0,13,10,4,3,9,7,1,1,0,0,9,9,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9.479768786127167,5.359344894026975,4.1204238921001926,1.392581888246628,0.7673410404624278,0.6252408477842004,1,,,,5.0,5.559890815671163,3.3534039820166988,0.46122350674373797,0.27087347463070005,5.0,3.8534039820166988,5.226557482337829,1.1042068079640333,1.1278901734104048
vamSAs5B/,2016-11-04,2017,D1,germany,Hertha Berlin,Borussia Monchengladbach,3.02,3.26,2.85,2-0,3-0,h,2,9,11,5,2,4,9,2,3,0,1,12,13,3,1,20,25,5,1,4,0,0,0,1,4,2,12,11,6,2,6,9,2,3,0,1,13,15,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,9.501865671641792,5.307835820895522,4.1940298507462686,1.3022388059701493,0.7176616915422885,0.5845771144278606,1,,,,4.0,5.061567164179104,4.038805970149253,0.7435323383084577,0.916915422885572,4.0,3.2388059701492535,4.861567164179105,0.5169154228855721,0.7435323383084577
2DKlSrzn/,2016-11-05,2017,D1,germany,Eintracht Frankfurt,FC Cologne,2.72,3.4,3.1,1-0,1-0,h,1,7,3,1,0,6,3,2,2,0,0,20,7,4,4,10,27,4,0,8,0,0,2,0,0,3,8,6,1,1,7,5,3,3,0,0,20,10,4,5,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,9.501865671641792,5.307835820895522,4.1940298507462686,1.3022388059701493,0.7176616915422885,0.5845771144278606,1,0.0,away,1.0,4.0,3.8615671641791045,3.8388059701492536,0.5435323383084577,0.5169154228855721,4.0,4.038805970149253,7.061567164179104,0.3169154228855721,0.9435323383084576
4QjjvKjN/,2016-11-05,2017,SP1,spain,Granada,Deportivo La Coruna,2.79,3.28,3.0,0-1,1-1,a,-1,9,7,3,3,6,4,1,2,0,0,9,6,6,2,16,15,3,0,8,0,0,1,2,1,0,14,13,6,5,8,8,1,2,0,0,10,7,7,6,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,4,0,1,0,0,0,10.495781637717121,5.981637717121588,4.514143920595534,1.490818858560794,0.8307692307692308,0.6600496277915633,5,1.0,home,1.0,5.0,5.663606286186931,3.7523573200992555,0.30512820512820515,0.44334160463192723,5.0,2.919023986765922,7.496939619520265,0.44334160463192723,1.1384615384615386
4pPjIRW7/,2016-11-05,2017,E0,england,Burnley,Crystal Palace,3.64,3.3,2.4,2-1,3-2,h,1,12,11,5,4,7,7,1,2,0,0,8,10,4,7,23,18,3,0,11,1,2,0,0,1,2,14,16,6,5,8,11,1,2,0,0,10,12,4,7,11,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,10.576597382602001,5.8745188606620475,4.702078521939954,1.5858352578906851,0.8652809853733642,0.7205542725173211,0,0.0,away,0.0,6.0,4.267788408666006,7.100296931705707,0.5521829979104805,1.1029363246453314,5.0,5.950346420323325,7.145753143443675,0.4534257120862202,0.6442134975622273
6k3ZtB98/,2016-11-05,2017,E0,england,Chelsea,Everton,1.52,4.7,7.6,5-0,5-0,h,5,17,1,7,0,10,1,0,3,0,0,2,14,3,2,18,16,3,0,5,0,1,0,0,2,0,21,1,9,0,12,1,0,3,0,0,4,16,4,2,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10.576597382602001,5.8745188606620475,4.702078521939954,1.5858352578906851,0.8652809853733642,0.7205542725173211,1,,,,5.0,6.812419810110342,4.450346420323325,0.47754683089556066,1.1200923787528867,5.0,4.283679753656659,6.312419810110342,0.4534257120862202,0.9775468308955606
