id_odsp,date,season,league,country,home_team,away_team,odd_h,odd_d,odd_a,score_pre_80,score_ft,game_state_80,goal_diff_80,home_shots_pre80,away_shots_pre80,home_shots_on_target_pre80,away_shots_on_target_pre80,home_shots_off_target_pre80,away_shots_off_target_pre80,home_yellow_cards_pre80,away_yellow_cards_pre80,home_sending_off_pre80,away_sending_off_pre80,home_fouls_pre80,away_fouls_pre80,home_corners_pre80,away_corners_pre80,total_shots_pre_80,total_fouls_pre_80,total_yellow_cards_pre_80,total_sending_off_pre_80,total_corners_pre_80,total_corners_70_75,total_shots_70_75,total_fouls_70_75,total_corners_75_80,total_shots_75_80,total_fouls_75_80,home_shots_ft,away_shots_ft,home_shots_on_target_ft,away_shots_on_target_ft,home_shots_off_target_ft,away_shots_off_target_ft,home_yellow_cards_ft,away_yellow_cards_ft,home_sending_off_ft,away_sending_off_ft,home_fouls_ft,away_fouls_ft,home_corners_ft,away_corners_ft,total_corners_ft,home_shots_70_75,away_shots_70_75,home_shots_on_target_70_75,away_shots_on_target_70_75,home_shots_off_target_70_75,away_shots_off_target_70_75,home_yellow_cards_70_75,away_yellow_cards_70_75,home_sending_off_70_75,away_sending_off_70_75,home_fouls_70_75,away_fouls_70_75,home_corners_70_75,away_corners_70_75,home_shots_75_80,away_shots_75_80,home_shots_on_target_75_80,away_shots_on_target_75_80,home_shots_off_target_75_80,away_shots_off_target_75_80,home_yellow_cards_75_80,away_yellow_cards_75_80,home_sending_off_75_80,away_sending_off_75_80,home_fouls_75_80,away_fouls_75_80,home_corners_75_80,away_corners_75_80,home_corner_diff,away_corner_diff,league_england,league_spain,league_germany,league_italy,league_france,league_avg_corners,league_avg_home_corners,league_avg_away_corners,league_avg_post80_corners,league_avg_post80_home_corners,league_avg_post80_away_corners,corner_diff,is_home_trailing,trailing_team,trailing_team_corners,home_games,home_corners_for_avg,home_corners_against_avg,home_post80_corners_for_avg,home_post80_corners_against_avg,away_games,away_corners_for_avg,away_corners_against_avg,away_post80_corners_for_avg,away_post80_corners_against_avg,game_state_80_h,game_state_80_a,game_state_80_d,abs_goal_diff_80,close_game_80,goal_diff_squared_80,odds_ratio,shot_to_corner_ratio_pre_80,team_aggression_score_pre_80,home_urgency_to_attack,away_urgency_to_attack,home_momentum_to_attack,away_momentum_to_attack,attack_intensity,defensive_pressure,trailing_team_probability,target
I5sHJt2n/,2011-08-13,2012,F1,france,St Etienne,AS Nancy Lorraine,2.25,3.2,3.95,0-0,1-0,d,0,14,3,3,1,11,2,2,1,0,0,7,11,7,0,17,18,3,0,7,0,1,0,1,2,1,16,5,4,2,12,3,2,2,0,0,10,13,8,2,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,3,,,,0.0,5.359,4.12,0.767,0.625,0.0,4.12,5.359,0.625,0.767,0,0,1,0,1,0,0.57,2.429,1.235,0.637,0.363,1.274,0.0,0,1,25.316,1
KhlsbNR9/,2011-08-13,2012,D1,germany,Nurnberg,Hannover 96,1.97,3.9,4.2,1-2,1-2,a,-1,10,5,4,3,6,2,2,3,0,0,12,13,8,6,15,25,5,0,14,0,0,1,0,0,1,13,5,5,3,8,2,2,3,0,0,13,18,8,6,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,0,1.0,home,0.0,0.0,5.308,4.194,0.718,0.585,0.0,4.194,5.308,0.585,0.718,0,1,0,1,1,1,0.469,1.071,2.0,0.508,0.0,0.0,0.0,0,0,50.761,0
UPAXkaZk/,2011-08-13,2012,D1,germany,Borussia Monchengladbach,VfB Stuttgart,2.94,3.65,2.6,1-1,1-1,d,0,9,12,3,7,6,5,4,2,1,0,9,7,1,3,21,16,6,1,4,1,2,0,0,0,1,10,15,3,7,7,8,4,2,1,0,9,8,2,5,7,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,3,,,,0.0,5.308,4.194,0.718,0.585,0.0,4.194,5.308,0.585,0.718,0,0,1,0,1,0,1.131,5.25,1.048,0.469,0.531,0.0,-1.593,0,1,38.462,1
WUdMGvn5/,2011-08-13,2012,F1,france,Valenciennes,Brest,1.99,3.4,4.9,0-0,0-0,d,0,13,6,6,5,7,1,1,1,0,0,12,13,7,4,19,25,2,0,11,1,1,1,0,0,1,13,7,6,6,7,1,1,1,0,0,15,15,7,4,11,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,0,,,,0.0,5.359,4.12,0.767,0.625,0.0,4.12,5.359,0.625,0.767,0,0,1,0,1,0,0.406,1.727,1.421,0.711,0.289,-1.422,0.0,0,0,20.408,0
bHbEI0Hh/,2011-08-13,2012,F1,france,Sochaux,Caen,2.0,3.4,4.7,0-2,1-2,a,-2,12,14,5,6,7,8,0,1,0,0,11,15,6,3,26,26,1,0,9,0,0,0,2,2,3,16,16,8,6,8,10,0,1,0,0,13,20,8,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,2,1,1,2,0,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,2,,,,0.0,5.359,4.12,0.767,0.625,0.0,4.12,5.359,0.625,0.767,0,1,0,2,0,4,0.426,2.889,1.038,0.25,0.0,0.5,0.0,0,3,21.277,1
bw0Yaqcc/,2011-08-13,2012,D1,germany,Schalke 04,FC Cologne,1.67,4.2,6.14,4-1,5-1,h,3,16,6,4,2,12,4,0,2,0,0,12,12,6,1,22,24,2,0,7,0,3,0,0,1,3,19,6,5,2,14,4,0,3,0,0,15,13,7,2,9,1,2,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,1,1,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,2,,,,0.0,5.308,4.194,0.718,0.585,0.0,4.194,5.308,0.585,0.718,1,0,0,3,0,9,0.272,3.143,1.182,0.0,0.0,0.0,-0.0,0,3,16.287,1
byqaawHU/,2011-08-13,2012,F1,france,Lyon,AC Ajaccio,1.3,5.8,14.58,0-1,1-1,a,-1,17,6,5,2,12,4,1,2,0,0,11,14,11,1,23,25,3,0,12,0,1,1,0,1,1,24,7,8,2,16,5,1,3,0,0,14,17,13,1,14,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,2,1.0,home,2.0,0.0,5.359,4.12,0.767,0.625,0.0,4.12,5.359,0.625,0.767,0,1,0,1,1,1,0.089,1.917,1.217,0.769,0.0,0.769,-0.0,1,0,76.923,1
lShocssG/,2011-08-13,2012,D1,germany,SC Freiburg,Mainz,3.0,3.52,2.6,0-2,1-2,a,-2,15,8,5,4,10,4,0,1,0,0,7,17,1,6,23,24,1,0,7,0,3,2,0,5,1,18,9,6,4,12,5,0,2,0,0,10,18,4,6,10,2,1,1,1,1,0,0,0,0,0,0,2,0,0,3,2,2,1,1,1,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,3,,,,0.0,5.308,4.194,0.718,0.585,0.0,4.194,5.308,0.585,0.718,0,1,0,2,0,4,1.154,3.286,1.087,0.167,0.0,0.167,0.0,0,-1,38.462,1
pYve0J1O/,2011-08-13,2012,F1,france,Lorient,Bordeaux,2.6,3.27,3.25,0-0,1-1,d,0,10,10,4,5,6,5,1,3,0,1,9,14,4,10,20,23,4,1,14,1,1,1,0,0,2,12,11,5,6,7,5,1,3,0,1,12,15,4,10,14,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,0,,,,0.0,5.359,4.12,0.767,0.625,0.0,4.12,5.359,0.625,0.767,0,0,1,0,1,0,0.8,1.429,1.35,0.556,0.444,-0.556,-0.444,0,1,30.769,0
t2kwa3C3/,2011-08-13,2012,D1,germany,Hamburg SV,Hertha Berlin,2.12,3.6,3.98,2-1,2-2,h,1,7,22,2,5,5,17,2,2,0,0,10,7,5,4,29,17,4,0,9,0,0,3,2,1,1,9,24,4,6,5,18,3,3,0,0,13,8,5,6,11,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,2,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,2,0.0,away,2.0,0.0,5.308,4.194,0.718,0.585,0.0,4.194,5.308,0.585,0.718,1,0,0,1,1,1,0.533,3.222,0.724,0.0,0.251,0.0,0.0,3,-2,25.126,1
