id_odsp,date,season,league,country,home_team,away_team,odd_h,odd_d,odd_a,score_pre_80,score_ft,game_state_80,goal_diff_80,total_shots_pre_80,total_fouls_pre_80,total_yellow_cards_pre_80,total_sending_off_pre_80,total_corners_pre_80,total_corners_70_75,total_shots_70_75,total_fouls_70_75,total_corners_75_80,total_shots_75_80,total_fouls_75_80,total_corners_ft,league_england,league_spain,league_germany,league_italy,league_france,league_avg_corners,league_avg_home_corners,league_avg_away_corners,league_avg_post80_corners,league_avg_post80_home_corners,league_avg_post80_away_corners,corner_diff,is_home_trailing,trailing_team,trailing_team_corners,trailing_team_corner_diff,leading_team_corner_diff,trailing_team_corners_70_75,leading_team_corners_70_75,trailing_team_corners_75_80,leading_team_corners_75_80,leading_team_corners_against_avg,trailing_team_corners_for_avg,trailing_team_corners_ft,leading_team_corners_ft,trailing_team_corners_pre80,leading_team_corners_pre80,trailing_team_fouls_70_75,leading_team_fouls_70_75,trailing_team_fouls_75_80,leading_team_fouls_75_80,trailing_team_fouls_ft,leading_team_fouls_ft,trailing_team_fouls_pre80,leading_team_fouls_pre80,leading_team_post80_corners_against_avg,trailing_team_post80_corners_for_avg,trailing_team_sending_off_70_75,leading_team_sending_off_70_75,trailing_team_sending_off_75_80,leading_team_sending_off_75_80,trailing_team_sending_off_ft,leading_team_sending_off_ft,trailing_team_sending_off_pre80,leading_team_sending_off_pre80,trailing_team_shots_70_75,leading_team_shots_70_75,trailing_team_shots_75_80,leading_team_shots_75_80,trailing_team_shots_ft,leading_team_shots_ft,trailing_team_shots_off_target_70_75,leading_team_shots_off_target_70_75,trailing_team_shots_off_target_75_80,leading_team_shots_off_target_75_80,trailing_team_shots_off_target_ft,leading_team_shots_off_target_ft,trailing_team_shots_off_target_pre80,leading_team_shots_off_target_pre80,trailing_team_shots_on_target_70_75,leading_team_shots_on_target_70_75,trailing_team_shots_on_target_75_80,leading_team_shots_on_target_75_80,trailing_team_shots_on_target_ft,leading_team_shots_on_target_ft,trailing_team_shots_on_target_pre80,leading_team_shots_on_target_pre80,trailing_team_shots_pre80,leading_team_shots_pre80,trailing_team_yellow_cards_70_75,leading_team_yellow_cards_70_75,trailing_team_yellow_cards_75_80,leading_team_yellow_cards_75_80,trailing_team_yellow_cards_ft,leading_team_yellow_cards_ft,trailing_team_yellow_cards_pre80,leading_team_yellow_cards_pre80,odds_ratio,trailing_team_urgency_to_attack,leading_team_urgency_to_attack,trailing_team_momentum_to_attack,leading_team_momentum_to_attack,trailing_team_attack_intensity,leading_team_attack_intensity,trailing_team_defensive_pressure,leading_team_defensive_pressure,trailing_team_shot_to_corner_ratio_pre_80,leading_team_shot_to_corner_ratio_pre_80,trailing_team_aggression_score_pre_80,leading_team_aggression_score_pre_80,trailing_team_probability,target
IV8qAKQL/,2011-08-20,2012,D1,germany,VfB Stuttgart,Bayer Leverkusen,2.31,3.7,3.3,0-1,0-1,a,-1,21,21,2,0,7,1,2,1,0,1,1,9,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,2,1.0,home,1.0,1,1,1,0,0,0,6.154,3.654,5,4,4,3,1,0,0,1,16,13,10,11,1.359,0.359,0,0,0,0,1,0,0,0,2,0,0,1,11,11,2,0,0,1,11,8,10,8,0,0,0,0,0,3,0,3,10,11,1,0,0,0,3,0,2,0,0.7,0.433,0.303,-1.299,0.303,0,1,-1,1,2.5,3.667,1.2,1.0,43.29,1
StGWCMt3/,2011-08-20,2012,D1,germany,Werder Bremen,SC Freiburg,1.63,4.3,6.2,3-2,5-3,h,1,30,36,4,0,11,1,2,1,1,0,1,13,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,2,0.0,away,0.0,0,2,0,1,0,1,4.597,4.097,1,12,1,10,0,1,1,0,23,16,22,14,0.792,0.792,0,0,0,0,0,0,0,0,0,2,0,0,11,26,0,2,0,0,4,18,3,16,0,0,0,0,7,8,5,6,8,22,1,1,0,0,4,1,3,1,3.804,0.161,0.613,0.0,-1.226,0,1,1,-1,8.0,2.2,3.125,0.682,16.129,0
tl4D8Ggo/,2011-08-20,2012,F1,france,Dijon FCO,Lorient,2.88,3.28,2.9,1-0,2-0,h,1,21,26,2,1,11,0,1,2,0,1,1,15,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,4,0.0,away,3.0,3,1,0,0,0,0,3.56,5.06,14,1,11,0,1,1,1,0,14,18,12,14,0.313,0.813,0,0,0,0,0,1,0,1,1,0,0,1,23,6,1,0,0,1,17,4,11,3,0,0,0,0,6,2,6,1,17,4,0,0,0,0,4,2,2,0,1.007,0.345,0.347,-0.345,0.347,0,1,0,-1,1.545,inf,0.824,3.5,34.483,1
vuIoDdoU/,2011-08-20,2012,F1,france,Caen,Lille,4.3,3.36,2.1,0-1,1-2,a,-1,18,25,4,0,6,0,1,2,1,1,2,7,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,1,1.0,home,0.0,0,1,0,0,0,1,5.68,4.18,0,7,0,6,1,1,1,1,17,14,15,10,0.384,0.884,0,0,0,0,0,0,0,0,0,1,0,1,6,18,0,1,0,1,4,9,3,9,0,0,0,0,2,9,0,6,3,15,0,0,0,0,2,3,2,2,2.048,0.233,0.476,0.0,0.476,0,2,0,0,inf,2.5,5.667,0.8,23.256,0
M3FzCtd9/,2011-08-21,2012,D1,germany,Hannover 96,Hertha Berlin,2.31,3.7,3.3,1-0,1-1,h,1,17,32,4,0,8,0,0,2,0,0,0,9,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,1,0.0,away,1.0,1,0,0,0,0,0,4.597,5.097,6,3,5,3,0,2,0,0,19,19,15,17,0.792,1.292,0,0,0,0,0,0,0,0,0,0,0,0,10,14,0,0,0,0,6,8,4,7,0,0,0,0,4,6,1,5,5,12,0,0,0,0,6,1,3,1,1.429,0.303,0.433,0.0,0.0,0,0,0,-2,1.0,4.0,3.6,1.5,30.303,1
fydAFnSc/,2011-08-21,2012,F1,france,AS Nancy Lorraine,Sochaux,2.24,3.35,3.9,1-2,1-2,a,-1,14,29,3,1,8,0,0,4,1,2,0,8,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,0,1.0,home,0.0,0,0,0,0,1,0,4.68,5.68,4,4,4,4,3,1,0,0,16,15,15,14,0.384,0.384,0,0,0,0,0,1,0,1,0,0,2,0,12,8,0,0,1,0,8,5,6,3,0,0,1,0,4,3,3,2,9,5,0,0,0,0,2,1,2,1,0.574,0.446,0.256,1.338,0.0,3,0,-3,-1,2.25,1.25,1.889,3.0,44.643,0
j3kJDQdA/,2011-08-21,2012,F1,france,Paris Saint-Germain,Valenciennes,1.67,4.0,7.5,2-1,2-1,h,1,23,16,2,0,3,0,1,2,0,0,0,3,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,0,0.0,away,0.0,0,0,0,0,0,0,5.06,7.56,0,3,0,3,1,1,0,0,12,9,8,8,0.813,1.813,0,0,0,0,0,0,0,0,0,1,0,0,10,16,0,0,0,0,6,12,5,11,0,1,0,0,4,4,3,4,8,15,0,0,0,0,3,0,2,0,4.491,0.133,0.599,0.0,-0.599,0,0,-1,-1,inf,5.0,1.25,0.533,13.333,0
0QSBhGQ1/,2011-08-27,2012,F1,france,Lyon,Montpellier,1.72,3.7,6.4,1-0,2-1,h,1,24,24,6,0,11,0,1,1,1,1,1,12,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,1,0.0,away,1.0,1,0,0,0,0,1,2.56,2.06,7,5,6,5,1,0,0,1,13,14,11,13,0.313,0.313,0,0,0,0,1,0,0,0,1,0,0,1,18,11,1,0,0,0,10,7,8,7,0,0,0,1,8,4,6,3,14,10,0,0,0,0,3,4,3,3,3.721,0.156,0.581,-0.156,1.162,0,2,-1,1,2.333,2.0,1.0,1.6,15.625,1
CtEdUSdJ/,2011-08-27,2012,SP1,spain,Sporting Gijon,Real Sociedad,2.08,3.5,4.2,1-2,1-2,a,-1,22,18,2,1,8,2,3,1,1,2,1,10,0,1,0,0,0,10.496,5.982,4.514,1.491,0.831,0.66,2,1.0,home,2.0,2,0,2,0,1,0,5.982,5.982,8,2,6,2,0,1,0,1,12,10,9,9,0.831,0.831,0,0,0,0,1,1,0,1,3,0,2,0,17,6,3,0,1,0,13,4,12,4,0,0,1,0,4,2,4,2,16,6,0,0,0,0,4,1,2,0,0.495,0.481,0.238,-0.962,0.0,3,0,0,0,2.667,3.0,0.688,1.5,48.077,1
KSGZOJuF/,2011-08-27,2012,D1,germany,Nurnberg,FC Augsburg,1.76,4.01,5.45,1-0,1-0,h,1,26,22,4,0,6,1,2,0,0,2,1,7,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,1,0.0,away,1.0,1,0,1,0,0,0,5.097,2.597,3,4,2,4,0,0,1,0,14,11,12,10,0.292,0.292,0,0,0,0,0,0,0,0,1,1,0,2,13,15,1,1,0,0,11,9,9,9,0,0,0,2,2,6,2,6,11,15,0,0,0,0,2,4,1,3,3.097,0.183,0.568,-0.366,0.568,0,2,1,0,5.5,3.75,1.182,0.867,18.349,1
