id_odsp,date,season,league,country,home_team,away_team,odd_h,odd_d,odd_a,score_pre_80,score_ft,game_state_80,goal_diff_80,home_shots_pre80,away_shots_pre80,home_fouls_pre80,away_fouls_pre80,home_corners_pre80,away_corners_pre80,home_yellow_cards_pre80,away_yellow_cards_pre80,home_sending_off_pre80,away_sending_off_pre80,home_corners_70_75,away_corners_70_75,home_shots_70_75,away_shots_70_75,home_fouls_70_75,away_fouls_70_75,home_corners_75_80,away_corners_75_80,home_shots_75_80,away_shots_75_80,home_fouls_75_80,away_fouls_75_80,odd_h,odd_d,odd_a,total_shots_pre_80,total_fouls_pre_80,total_yellow_cards_pre_80,total_sending_off_pre_80,total_corners_pre_80,total_corners_70_75,total_shots_70_75,total_fouls_70_75,total_corners_75_80,total_shots_75_80,total_fouls_75_80,odds_ratio,shot_to_corner_ratio_pre_80,home_urgency_to_attack,away_urgency_to_attack,home_momentum_to_attack,away_momentum_to_attack,attack_intensity,defensive_pressure,home_corner_diff,away_corner_diff,corner_diff,target
bHbEI0Hh/,2011-08-13,2012,F1,france,Sochaux,Caen,2.0,3.4,4.7,0-2,1-2,a,-2,12,14,11,15,6,3,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2.0,3.4,4.7,26,26,1,0,9,0,0,0,2,2,3,0.426,2.889,0.25,0.0,0.5,0.0,0,3,2,0,2,1
bw0Yaqcc/,2011-08-13,2012,D1,germany,Schalke 04,FC Cologne,1.67,4.2,6.14,4-1,5-1,h,3,16,6,12,12,6,1,0,2,0,0,0,0,1,2,0,0,0,0,1,0,0,3,1.67,4.2,6.14,22,24,2,0,7,0,3,0,0,1,3,0.272,3.143,0.0,0.0,0.0,-0.0,0,3,1,1,2,1
byqaawHU/,2011-08-13,2012,F1,france,Lyon,AC Ajaccio,1.3,5.8,14.58,0-1,1-1,a,-1,17,6,11,14,11,1,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1.3,5.8,14.58,23,25,3,0,12,0,1,1,0,1,1,0.089,1.917,0.769,0.0,0.769,-0.0,1,0,2,0,2,1
lShocssG/,2011-08-13,2012,D1,germany,SC Freiburg,Mainz,3.0,3.52,2.6,0-2,1-2,a,-2,15,8,7,17,1,6,0,1,0,0,0,0,2,1,0,2,0,0,3,2,0,1,3.0,3.52,2.6,23,24,1,0,7,0,3,2,0,5,1,1.154,3.286,0.167,0.0,0.167,0.0,0,-1,3,0,3,1
pYve0J1O/,2011-08-13,2012,F1,france,Lorient,Bordeaux,2.6,3.27,3.25,0-0,1-1,d,0,10,10,9,14,4,10,1,3,0,1,0,1,1,0,0,1,0,0,0,0,0,2,2.6,3.27,3.25,20,23,4,1,14,1,1,1,0,0,2,0.8,1.429,0.556,0.444,-0.556,-0.444,0,1,0,0,0,0
t2kwa3C3/,2011-08-13,2012,D1,germany,Hamburg SV,Hertha Berlin,2.12,3.6,3.98,2-1,2-2,h,1,7,22,10,7,5,4,2,2,0,0,0,0,0,0,1,2,2,0,1,0,1,0,2.12,3.6,3.98,29,17,4,0,9,0,0,3,2,1,1,0.533,3.222,0.0,0.251,0.0,0.0,3,-2,0,2,2,1
vFrDKMnt/,2011-08-13,2012,F1,france,Stade Rennes,Paris Saint-Germain,2.66,3.25,3.1,0-1,1-1,a,-1,9,6,14,19,2,3,2,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,2.66,3.25,3.1,15,33,3,0,5,0,2,1,0,1,1,0.858,3.0,0.376,0.0,-0.376,0.0,1,0,1,0,1,1
x8cIHKWb/,2011-08-13,2012,F1,france,Toulouse,Dijon FCO,1.68,3.8,7.0,1-0,2-0,h,1,11,6,8,9,6,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1.68,3.8,7.0,17,17,3,0,7,0,1,1,0,0,1,0.24,2.429,0.0,0.143,-0.0,0.0,0,0,0,0,0,0
z3BTjuKq/,2011-08-13,2012,D1,germany,VfL Wolfsburg,Bayern Munich,4.7,3.79,1.95,0-0,0-1,d,0,4,9,11,10,8,8,0,2,0,0,1,0,0,0,1,1,0,1,1,0,0,0,4.7,3.79,1.95,13,21,2,0,16,1,0,2,1,1,0,2.41,0.812,0.293,0.707,0.0,0.707,0,-2,0,0,0,0
29kj1anI/,2011-08-14,2012,F1,france,Lille,Montpellier,1.6,4.0,8.19,0-1,0-1,a,-1,19,8,6,18,6,0,2,2,0,0,1,0,3,1,0,0,0,0,1,0,0,1,1.6,4.0,8.19,27,24,4,0,6,1,4,0,0,1,1,0.195,4.5,0.625,0.0,-1.875,-0.0,1,1,1,0,1,1
OIjn2uXB/,2011-08-14,2012,F1,france,Evian Thonon Gaillard,Nice,2.31,3.26,3.75,1-0,1-0,h,1,11,12,10,9,1,5,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.31,3.26,3.75,23,19,4,0,6,0,0,1,1,0,0,0.616,3.833,0.0,0.267,0.0,0.267,1,-1,1,0,1,1
WzGcd1dM/,2011-08-14,2012,D1,germany,Kaiserslautern,FC Augsburg,1.94,3.65,4.65,1-1,1-1,d,0,17,11,16,6,5,1,3,0,0,0,0,0,2,0,1,0,0,0,2,0,1,0,1.94,3.65,4.65,28,22,3,0,6,0,2,1,0,2,1,0.417,4.667,0.706,0.294,0.0,0.0,0,0,2,0,2,1
fqnr3LH5/,2011-08-14,2012,F1,france,AJ Auxerre,Marseille,3.95,3.31,2.24,1-2,2-2,a,-1,11,5,17,13,7,2,4,2,0,0,2,0,2,0,1,1,0,0,0,0,0,0,3.95,3.31,2.24,16,30,6,0,9,2,2,2,0,0,0,1.763,1.778,0.253,0.0,-1.012,0.0,0,-2,2,0,2,1
pzdU0Psi/,2011-08-14,2012,D1,germany,Bayer Leverkusen,Werder Bremen,1.91,4.0,4.3,0-0,1-0,d,0,11,7,16,12,6,0,1,1,0,0,2,0,0,1,0,0,1,0,3,0,0,0,1.91,4.0,4.3,18,28,2,0,6,2,1,0,1,3,0,0.444,3.0,0.692,0.308,1.384,-0.308,0,0,1,1,2,1
WMIN4blq/,2011-08-19,2012,D1,germany,Borussia Monchengladbach,VfL Wolfsburg,2.88,3.6,2.64,4-1,4-1,h,3,20,7,10,16,8,4,1,2,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2.88,3.6,2.64,27,26,3,0,12,0,1,0,0,1,2,1.091,2.25,0.0,0.0,0.0,0.0,0,2,0,2,2,1
