kaggle_id,totalCorner_id
pKC2qJmc/,61186990
GITDtHXF/,61186995
CpNMve2S/,61186997
rTDhZYPk/,61187000
Qi3cYhud/,61187006
KYS3THfe/,61187682
EcV8HBho/,61092442
nqu82nqe/,61092575
YgOIuymM/,61187012
6V2UEIu2/,61187684
MBzzyYJ9/,60684149
KdDzzK8C/,61092444
vyNfuFph/,61092446
YuBOxMOg/,61092448
MaCavZab/,61092450
McmTZJHR/,61187686
Yuy43STl/,61092577
trUaUcuk/,61092742
dbYzAUjL/,61092579
UP9lzFAq/,61187021
I7ZWAAyF/,61092581
vJy048Er/,61092583
xAkY8l6R/,61092585
dEMbP9j8/,61092587
U7UC16b1/,61092589
xY7uZwOI/,61092454
r5V5rw33/,61187030
r5m8MY4G/,60684151
fodCw2I2/,61092744
jHLJw29m/,61092456
xSU9scI9/,61187038
jVjGKCZS/,60684154
z5L2OT5E/,61092591
EeS7SyA1/,61187688
YyeGxMX8/,61092747
8bTG0QD7/,61092594
G0pLytmF/,61092749
nqFSytv0/,61092458
